   3.35000000 -398.98673821 
   3.30415385 -398.98672534 
   3.25830769 -398.98669712 
   3.21246154 -398.98665891 
   3.16661538 -398.98658817 
   3.12076923 -398.98647969 
   3.07492308 -398.98634499 
   3.02907692 -398.98617717 
   2.98323077 -398.98597040 
   2.93738462 -398.98571705 
   2.89153846 -398.98549797 
   2.84569231 -398.98521768 
   2.79984615 -398.98489022 
   2.75400000 -398.98452281 
   2.70815385 -398.98411924 
   2.66230769 -398.98368000 
   2.61646154 -398.98318725 
   2.57061538 -398.98286190 
   2.52476923 -398.98240365 
   2.47892308 -398.98193566 
   2.43307692 -398.98146462 
   2.38723077 -398.98102810 
   2.34138462 -398.98059932 
   2.29553846 -398.98026581 
   2.24969231 -398.98005069 
   2.20384615 -398.97998415 
   2.15800000 -398.98006444 
   2.11215385 -398.98032872 
   2.06630769 -398.98079214 
   2.02046154 -398.98148266 
   1.97461538 -398.98237184 
   1.92876923 -398.98346176 
   1.88292308 -398.98474190 
   1.83707692 -398.98617721 
   1.79123077 -398.98771201 
   1.74538462 -398.98926783 
   1.69953846 -398.99076053 
   1.65369231 -398.99207268 
   1.60784615 -398.99304190 
   1.56200000 -398.99340831 
