   3.35000000 -398.97233360 
   3.30415385 -398.97223011 
   3.25830769 -398.97211143 
   3.21246154 -398.97199823 
   3.16661538 -398.97182860 
   3.12076923 -398.97162158 
   3.07492308 -398.97140750 
   3.02907692 -398.97112980 
   2.98323077 -398.97081429 
   2.93738462 -398.97045392 
   2.89153846 -398.97032786 
   2.84569231 -398.96994030 
   2.79984615 -398.96950712 
   2.75400000 -398.96903485 
   2.70815385 -398.96852808 
   2.66230769 -398.96799059 
   2.61646154 -398.96739814 
   2.57061538 -398.96716932 
   2.52476923 -398.96660077 
   2.47892308 -398.96602299 
   2.43307692 -398.96544366 
   2.38723077 -398.96491765 
   2.34138462 -398.96437486 
   2.29553846 -398.96393530 
   2.24969231 -398.96361996 
   2.20384615 -398.96348070 
   2.15800000 -398.96345770 
   2.11215385 -398.96363195 
   2.06630769 -398.96401267 
   2.02046154 -398.96463160 
   1.97461538 -398.96546400 
   1.92876923 -398.96651119 
   1.88292308 -398.96774876 
   1.83707692 -398.96912790 
   1.79123077 -398.97059591 
   1.74538462 -398.97207702 
   1.69953846 -398.97349525 
   1.65369231 -398.97472585 
   1.60784615 -398.97562033 
   1.56200000 -398.97591200 
