Frequencies (cm^-1): min=-249.73, neg_count=2
Negative indices: [6, 7]
STATUS: TOO_MANY

All frequencies:
  0:       0.00 cm^-1  (trans/rot)
  1:       0.00 cm^-1  (trans/rot)
  2:       0.00 cm^-1  (trans/rot)
  3:       0.00 cm^-1  (trans/rot)
  4:       0.00 cm^-1  (trans/rot)
  5:       0.00 cm^-1  (trans/rot)
  6:    -249.73 cm^-1  ***imaginary***
  7:      -8.08 cm^-1  ***imaginary***
  8:      60.15 cm^-1
  9:      81.08 cm^-1
  10:     130.25 cm^-1
  11:     234.55 cm^-1
  12:     267.28 cm^-1
  13:     348.86 cm^-1
  14:     413.27 cm^-1
  15:     448.00 cm^-1
  16:     553.83 cm^-1
  17:     705.71 cm^-1
  18:     799.55 cm^-1
  19:     966.43 cm^-1
  20:    1017.24 cm^-1
  21:    1046.86 cm^-1
  22:    1060.53 cm^-1
  23:    1114.06 cm^-1
  24:    1223.42 cm^-1
  25:    1253.23 cm^-1
  26:    1324.66 cm^-1
  27:    1329.24 cm^-1
  28:    1385.95 cm^-1
  29:    1395.74 cm^-1
  30:    1471.65 cm^-1
  31:    1507.87 cm^-1
  32:    1537.58 cm^-1
  33:    1650.35 cm^-1
  34:    2186.83 cm^-1
  35:    3036.61 cm^-1
  36:    3072.21 cm^-1
  37:    3074.29 cm^-1
  38:    3121.05 cm^-1
  39:    3525.64 cm^-1
  40:    3600.79 cm^-1
  41:    3850.20 cm^-1
