Frequencies (cm^-1): min=-250.12, neg_count=2
Negative indices: [6, 7]
STATUS: TOO_MANY

All frequencies:
  0:       0.00 cm^-1  (trans/rot)
  1:       0.00 cm^-1  (trans/rot)
  2:       0.00 cm^-1  (trans/rot)
  3:       0.00 cm^-1  (trans/rot)
  4:       0.00 cm^-1  (trans/rot)
  5:       0.00 cm^-1  (trans/rot)
  6:    -250.12 cm^-1  ***imaginary***
  7:      -5.31 cm^-1  ***imaginary***
  8:      60.22 cm^-1
  9:      80.94 cm^-1
  10:     130.49 cm^-1
  11:     235.76 cm^-1
  12:     267.08 cm^-1
  13:     348.68 cm^-1
  14:     413.00 cm^-1
  15:     448.01 cm^-1
  16:     553.78 cm^-1
  17:     705.78 cm^-1
  18:     799.64 cm^-1
  19:     966.14 cm^-1
  20:    1017.30 cm^-1
  21:    1046.89 cm^-1
  22:    1060.28 cm^-1
  23:    1114.01 cm^-1
  24:    1223.39 cm^-1
  25:    1253.08 cm^-1
  26:    1324.72 cm^-1
  27:    1329.22 cm^-1
  28:    1385.97 cm^-1
  29:    1395.86 cm^-1
  30:    1471.64 cm^-1
  31:    1507.95 cm^-1
  32:    1537.63 cm^-1
  33:    1650.56 cm^-1
  34:    2186.78 cm^-1
  35:    3036.63 cm^-1
  36:    3072.23 cm^-1
  37:    3074.36 cm^-1
  38:    3121.14 cm^-1
  39:    3525.37 cm^-1
  40:    3600.59 cm^-1
  41:    3850.12 cm^-1
