step,energy_unit,energy_raw,energy_kJmol,delta_kJmol,delta_kJmol_smooth5,delta_kJmol_smooth7,converged
1,hartree,-399.081036475334,-1047787.1167986541,32.29167677462101,23.960690421774054,22.842708465427027,True
2,hartree,-399.088543198191,-1047806.8256967978,12.582778630894609,19.063121141749434,18.866835019501327,True
3,hartree,-399.089395278094,-1047809.0628322746,10.345643154112622,13.496898317453452,14.796193393728961,True
4,hartree,-399.090363403453,-1047811.6046450542,7.80383037449792,7.798000041372143,10.297091579846372,True
5,hartree,-399.091636786878,-1047814.9479127756,4.460562653141096,5.4410371306817975,5.723558776845623,True
6,hartree,-399.091889453932,-1047815.6112900345,3.797185394214466,3.4272979305824265,3.943612359630476,True
7,hartree,-399.093031797002,-1047818.6105113513,0.7979640774428844,1.8911625977605582,2.4788013029278124,True
8,hartree,-399.093230241868,-1047819.1315282751,0.2769471536157653,1.017443218571134,1.369697592952954,True
9,hartree,-399.093288818697,-1047819.2853217183,0.12315371038857847,0.266027020663023,0.7363003785389343,True
10,hartree,-399.093300697561,-1047819.3165096715,0.09196575719397515,0.11179063562303782,0.19570904589324659,True
11,hartree,-399.093320450507,-1047819.368371024,0.04010440467391163,0.05901041803881526,0.08288326656578907,True
12,hartree,-399.093325524685,-1047819.3816932765,0.026782152242958546,0.03601640039123595,0.04440292518120259,True
13,hartree,-399.093330756484,-1047819.395429363,0.013046065694652498,0.0191402017371729,0.027179180228683566,True
14,hartree,-399.093332608491,-1047819.4002918066,0.008183622150681913,0.011636819946579635,0.014041214915258544,True
15,hartree,-399.093332836584,-1047819.4008906648,0.007584763923659921,0.006280389497987926,0.8682882215195734,True
16,hartree,-399.093334739943,-1047819.405887933,0.0025874957209452987,1.2076378665398806,1.0109869323704126,True
17,hartree,-399.093335725468,-1047819.4084754287,0.0,1.4111357677495107,1.0877229680440255,True
18,hartree,-399.091042891996,-1047813.3886419778,6.019833450904116,1.5196584780467675,1.1350792332751942,True
19,hartree,-399.092945067205,-1047818.3828023005,1.0256731281988323,1.5870764746563508,1.1703150171088055,True
20,hartree,-399.093126165997,-1047818.8582771133,0.5501983154099435,1.6379235248081385,1.2025503986681412,True
21,hartree,-399.093206349149,-1047819.0687979499,0.3396774787688628,0.47960386795457455,1.2307369132592743,True
22,hartree,-399.093238892375,-1047819.154240178,0.2542352507589385,0.3139303627423942,0.3984985755689974,True
23,hartree,-399.093248795284,-1047819.1802402621,0.22823516663629562,0.24272371707484125,1.1415212724490889,True
24,hartree,-399.093260575733,-1047819.2111698266,0.1973056021379307,1.4201546225929633,1.2475828623033263,True
25,hartree,-399.093261771892,-1047819.2143103416,0.19416508707217872,1.6278334613190963,1.3212152164529212,True
26,hartree,-399.09096405041,-1047813.1816434223,6.226832006359473,1.7532072195550428,1.37923432810099,True
27,hartree,-399.092843388914,-1047818.1158459843,1.292629444389604,1.8458199055865407,1.4299927090427704,True
28,hartree,-399.093010033571,-1047818.5533714709,0.8551039578160271,1.9236956548178568,1.4814795648479568,True
29,hartree,-399.093084204187,-1047818.7481063964,0.6603690322954208,0.7898719721008092,1.5290796756245462,True
