   3.00000000 -399.09333573 
   2.92105263 -399.09326177 
   2.84210526 -399.09312932 
   2.76315789 -399.09307302 
   2.68421053 -399.09276826 
   2.60526316 -399.09240501 
   2.52631579 -399.09188140 
   2.44736842 -399.09124377 
   2.36842105 -399.09052969 
   2.28947368 -399.08978627 
   2.21052632 -399.08911555 
   2.13157895 -399.08863612 
   2.05263158 -399.08846660 
   1.97368421 -399.08867811 
   1.89473684 -399.08928498 
   1.81578947 -399.09022187 
   1.73684211 -399.09127286 
   1.65789474 -399.09202627 
   1.57894737 -399.09172929 
   1.50000000 -399.08910914 
