   4.23700000 -399.10971427 
   4.16858974 -399.10972649 
   4.10017949 -399.10973537 
   4.03176923 -399.10973349 
   3.96335897 -399.10973397 
   3.89494872 -399.10972944 
   3.82653846 -399.10972318 
   3.75812821 -399.10970541 
   3.68971795 -399.10967898 
   3.62130769 -399.10964203 
   3.55289744 -399.10959189 
   3.48448718 -399.10952552 
   3.41607692 -399.10943878 
   3.34766667 -399.10932575 
   3.27925641 -399.10917633 
   3.21084615 -399.10897822 
   3.14243590 -399.10871438 
   3.07402564 -399.10837150 
   3.00561538 -399.10797251 
   2.93720513 -399.10754260 
   2.86879487 -399.10704885 
   2.80038462 -399.10653171 
   2.73197436 -399.10594113 
   2.66356410 -399.10528120 
   2.59515385 -399.10465405 
   2.52674359 -399.10387982 
   2.45833333 -399.10304626 
   2.38992308 -399.10228653 
   2.32151282 -399.10159546 
   2.25310256 -399.10109336 
   2.18469231 -399.10091004 
   2.11628205 -399.10114796 
   2.04787179 -399.10190357 
   1.97946154 -399.10323576 
   1.91105128 -399.10517145 
   1.84264103 -399.10757132 
   1.77423077 -399.11027214 
   1.70582051 -399.11301003 
   1.63741026 -399.11541946 
   1.56900000 -399.11686730 
