   4.23700000 -399.10109691 
   4.16858974 -399.10110145 
   4.10017949 -399.10110465 
   4.03176923 -399.10109682 
   3.96335897 -399.10109016 
   3.89494872 -399.10107719 
   3.82653846 -399.10106069 
   3.75812821 -399.10103254 
   3.68971795 -399.10099473 
   3.62130769 -399.10094523 
   3.55289744 -399.10088123 
   3.48448718 -399.10079962 
   3.41607692 -399.10069613 
   3.34766667 -399.10056481 
   3.27925641 -399.10039556 
   3.21084615 -399.10017581 
   3.14243590 -399.09988861 
   3.07402564 -399.09952036 
   3.00561538 -399.09909380 
   2.93720513 -399.09863445 
   2.86879487 -399.09810904 
   2.80038462 -399.09755767 
   2.73197436 -399.09693079 
   2.66356410 -399.09623348 
   2.59515385 -399.09557488 
   2.52674359 -399.09475860 
   2.45833333 -399.09388189 
   2.38992308 -399.09307649 
   2.32151282 -399.09233826 
   2.25310256 -399.09179183 
   2.18469231 -399.09155669 
   2.11628205 -399.09173313 
   2.04787179 -399.09243309 
   1.97946154 -399.09370609 
   1.91105128 -399.09557799 
   1.84264103 -399.09791032 
   1.77423077 -399.10053932 
   1.70582051 -399.10320115 
   1.63741026 -399.10552993 
   1.56900000 -399.10689430 
