state,path,E_elec_Eh,ZPE_Eh,Hcorr_Eh,Gcorr_Eh,E_ZPE_Eh,G_Eh,E_elec_Eh_kJmol,E_elec_Eh_kcalmol,E_ZPE_Eh_kJmol,E_ZPE_Eh_kcalmol,G_Eh_kJmol,G_Eh_kcalmol
R,/home/yamamoto/Work/chemistry/orca-work/MEA_CO2_water_afify/forwardopt/forward_opt.log,-399.093498583181,,,,-399.093498583181,-399.093498583181,-1047819.8288746122,-250434.95137275162,-1047819.8288746122,-250434.95137275162,-1047819.8288746122,-250434.95137275162
TS,/home/yamamoto/Work/chemistry/orca-work/MEA_CO2_water_afify/tsopt/tsopt_freq.log,-399.088475627445,,,,-399.088475627445,-399.088475627445,-1047806.6411062361,-250431.7994204398,-1047806.6411062361,-250431.7994204398,-1047806.6411062361,-250431.7994204398
P,/home/yamamoto/Work/chemistry/orca-work/MEA_CO2_water_afify/backwardopt/backward_opt.log,-399.09208993517,,,,-399.09208993517,-399.09208993517,-1047816.1304697947,-250434.0674327792,-1047816.1304697947,-250434.0674327792,-1047816.1304697947,-250434.0674327792
