   4.13200000 -399.10215520 
   4.08908475 -399.10216124 
   4.04616949 -399.10216179 
   4.00325424 -399.10216188 
   3.96033898 -399.10216061 
   3.91742373 -399.10215761 
   3.87450847 -399.10213253 
   3.83159322 -399.10212104 
   3.78867797 -399.10210365 
   3.74576271 -399.10207932 
   3.70284746 -399.10204679 
   3.65993220 -399.10201246 
   3.61701695 -399.10197520 
   3.57410169 -399.10193529 
   3.53118644 -399.10189238 
   3.48827119 -399.10183051 
   3.44535593 -399.10177487 
   3.40244068 -399.10170838 
   3.35952542 -399.10162706 
   3.31661017 -399.10154012 
   3.27369492 -399.10142417 
   3.23077966 -399.10129157 
   3.18786441 -399.10113842 
   3.14494915 -399.10096934 
   3.10203390 -399.10078302 
   3.05911864 -399.10054684 
   3.01620339 -399.10025000 
   2.97328814 -399.10000013 
   2.93037288 -399.09970177 
   2.88745763 -399.09935021 
   2.84454237 -399.09897358 
   2.80162712 -399.09855616 
   2.75871186 -399.09807542 
   2.71579661 -399.09750328 
   2.67288136 -399.09689553 
   2.62996610 -399.09625048 
   2.58705085 -399.09592215 
   2.54413559 -399.09530070 
   2.50122034 -399.09464170 
   2.45830508 -399.09395781 
   2.41538983 -399.09330869 
   2.37247458 -399.09269026 
   2.32955932 -399.09213715 
   2.28664407 -399.09166751 
   2.24372881 -399.09130943 
   2.20081356 -399.09109751 
   2.15789831 -399.09105921 
   2.11498305 -399.09127739 
   2.07206780 -399.09168238 
   2.02915254 -399.09233849 
   1.98623729 -399.09324205 
   1.94332203 -399.09437365 
   1.90040678 -399.09572551 
   1.85749153 -399.09725906 
   1.81457627 -399.09894557 
   1.77166102 -399.10071680 
   1.72874576 -399.10252399 
   1.68583051 -399.10434256 
   1.64291525 -399.10599208 
   1.60000000 -399.10729460 
