   4.23700000 -398.97299833 
   4.16858974 -398.97300742 
   4.10017949 -398.97300926 
   4.03176923 -398.97300713 
   3.96335897 -398.97300345 
   3.89494872 -398.97299664 
   3.82653846 -398.97298931 
   3.75812821 -398.97297580 
   3.68971795 -398.97295566 
   3.62130769 -398.97292680 
   3.55289744 -398.97288468 
   3.48448718 -398.97282443 
   3.41607692 -398.97274020 
   3.34766667 -398.97262495 
   3.27925641 -398.97247350 
   3.21084615 -398.97227071 
   3.14243590 -398.97200700 
   3.07402564 -398.97166045 
   3.00561538 -398.97124384 
   2.93720513 -398.97076780 
   2.86879487 -398.97021769 
   2.80038462 -398.96963891 
   2.73197436 -398.96899154 
   2.66356410 -398.96826738 
   2.59515385 -398.96755495 
   2.52674359 -398.96667216 
   2.45833333 -398.96574971 
   2.38992308 -398.96492280 
   2.32151282 -398.96416872 
   2.25310256 -398.96363894 
   2.18469231 -398.96340475 
   2.11628205 -398.96357244 
   2.04787179 -398.96422570 
   1.97946154 -398.96534113 
   1.91105128 -398.96693217 
   1.84264103 -398.96890563 
   1.77423077 -398.97106534 
   1.70582051 -398.97320106 
   1.63741026 -398.97497819 
   1.56900000 -398.97577091 
