   4.23700000 -398.96445960 
   4.16858974 -398.96446299 
   4.10017949 -398.96445898 
   4.03176923 -398.96445049 
   3.96335897 -398.96443931 
   3.89494872 -398.96442411 
   3.82653846 -398.96440677 
   3.75812821 -398.96438295 
   3.68971795 -398.96435147 
   3.62130769 -398.96431007 
   3.55289744 -398.96425415 
   3.48448718 -398.96417873 
   3.41607692 -398.96407790 
   3.34766667 -398.96394454 
   3.27925641 -398.96377321 
   3.21084615 -398.96354894 
   3.14243590 -398.96326210 
   3.07402564 -398.96289057 
   3.00561538 -398.96244696 
   2.93720513 -398.96194181 
   2.86879487 -398.96136061 
   2.80038462 -398.96074830 
   2.73197436 -398.96006496 
   2.66356410 -398.95930433 
   2.59515385 -398.95855938 
   2.52674359 -398.95763785 
   2.45833333 -398.95667435 
   2.38992308 -398.95579927 
   2.32151282 -398.95499909 
   2.25310256 -398.95442771 
   2.18469231 -398.95414440 
   2.11628205 -398.95425826 
   2.04787179 -398.95484509 
   1.97946154 -398.95590038 
   1.91105128 -398.95742799 
   1.84264103 -398.95933369 
   1.77423077 -398.96142153 
   1.70582051 -398.96348179 
   1.63741026 -398.96517862 
   1.56900000 -398.96588952 
