   4.07600000 -398.97301406 
   4.01164103 -398.97302027 
   3.94728205 -398.97301710 
   3.88292308 -398.97300883 
   3.81856410 -398.97299764 
   3.75420513 -398.97298196 
   3.68984615 -398.97296044 
   3.62548718 -398.97293149 
   3.56112821 -398.97289042 
   3.49676923 -398.97283791 
   3.43241026 -398.97276306 
   3.36805128 -398.97266346 
   3.30369231 -398.97253264 
   3.23933333 -398.97236402 
   3.17497436 -398.97214895 
   3.11061538 -398.97186944 
   3.04625641 -398.97150864 
   2.98189744 -398.97109674 
   2.91753846 -398.97063465 
   2.85317949 -398.97010870 
   2.78882051 -398.96955201 
   2.72446154 -398.96891887 
   2.66010256 -398.96820216 
   2.59574359 -398.96756308 
   2.53138462 -398.96675029 
   2.46702564 -398.96588835 
   2.40266667 -398.96509959 
   2.33830769 -398.96436410 
   2.27394872 -398.96380383 
   2.20958974 -398.96347112 
   2.14523077 -398.96348201 
   2.08087179 -398.96387068 
   2.01651282 -398.96468371 
   1.95215385 -398.96593379 
   1.88779487 -398.96757790 
   1.82343590 -398.96950537 
   1.75907692 -398.97157182 
   1.69471795 -398.97354468 
   1.63035897 -398.97513492 
   1.56600000 -398.97578325 
